year,RNP,vessel_registration_number,species_permit,fishing_gear_number,fishing_gear_type_en
2015,305007429,30033789138,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007411,3001428413-8,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305006843,3102012913-9,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305007759,NA,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2015,305007403,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,305002929,NA,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2014,305007783,3001025313-7,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,302000567,3001B07813-5,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305006470,25015426138,ESCAMA MARINA,60,HOOK AND LINES / ROD AND REEL
2012,306001926,14022267132,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2015,305006322,25014778138,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2017,305023491,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305007098,26013041134,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,302001268,3003118113-3,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,306001900,25012987133,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2017,305000713,NA,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2016,305007155,NA,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2016,305004764,25024237138,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2014,305005985,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,306001892,0303000913-9,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2016,305006835,7012990133,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,305007007,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,306000274,25014897133,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2015,303006589,30030780133,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2017,306000274,NA,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2017,305007403,0303118913-5,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,305007445,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2014,305006033,30035901133,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305006967,0305010613-6,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305008047,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305007056,3102163313-7,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,305000671,30031511132,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305006801,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,305006876,2013214135,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,306001892,3103064413-6,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2017,305006934,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305006306,2014566135,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305007007,30035198138,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2011,305007585,14022513131,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2014,305007585,30034512131,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2015,302001250,25019848136,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,306001801,3102288413-5,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2013,305005423,1402358913-9,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2012,305007643,2504003513-6,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305006868,NA,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2013,305004970,2502646913-8,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,306001926,28021581135,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2013,305007221,2502647113-4,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305000135,30034913131,ESCAMA,36,HOOK AND LINES / ROD AND REEL
2017,306001728,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,306001793,2601272413-2,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2014,305002929,NA,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2015,306001769,2603119713-7,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2015,305007759,0402320213-7,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2015,306001702,NA,ESCAMA,5,HOOK AND LINES / ROD AND REEL
2014,306001033,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2012,306001934,25019655138,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2014,305007189,3001194413-3,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2015,305007692,20031505136,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,302001128,25019615137,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2014,306001290,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,306001702,3001600013-7,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2016,305006033,18011692131,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305001521,0304114813-4,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2016,305006033,6011870139,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2014,305006793,0202073613-5,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2012,305006645,3043663134,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2017,305004749,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2014,312000805,NA,ESCAMA,6,HOOK AND LINES / ROD AND REEL
2016,306001033,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,312003261,2802134413-2,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305003113,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305003162,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,306001934,1801243813-5,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2017,305008740,NA,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2015,306001744,2502637110-7,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,305006322,NA,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2015,306001041,NA,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2015,305006512,0201338013-5,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305006371,2802275910-8,ESCAMA MARINA,80,HOOK AND LINES / ROD AND REEL
2014,306001801,3101451513-6,ESCAMA,30,HOOK AND LINES / ROD AND REEL
2013,305007270,1402248513-1,ESCAMA MARINA,45,HOOK AND LINES / ROD AND REEL
2017,306001041,2501252113-1,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2016,306000118,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305000713,0303053213-8,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2015,306001843,0701936813-6,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305006306,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2016,305006645,4020134132,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2012,306001900,1402161213-6,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2012,306001033,1402162313-7,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305006843,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,302001268,25012407133,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2013,305007783,0202093013-9,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2012,312003261,2504000713-3,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,306001892,2502672113-1,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2012,305005985,2502054213-6,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305006884,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,306001785,3101139713-2,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2016,306000936,20031599138,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2014,306001793,12025106137,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305007783,0701251213-3,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,306001702,14021545135,ESCAMA,5,HOOK AND LINES / ROD AND REEL
2015,305000135,2014802136,ESCAMA,36,HOOK AND LINES / ROD AND REEL
2017,305003113,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305006512,3030524136,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305007122,0701B31213-6,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305005878,2501A370136,ESCAMA MARINA,11,HOOK AND LINES / ROD AND REEL
2014,305005985,3001277213-2,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,302000567,2603226213-3,ESCAMA MARINA,39,HOOK AND LINES / ROD AND REEL
2017,305007411,31024110137,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305000135,NA,ESCAMA,36,HOOK AND LINES / ROD AND REEL
2015,305006827,3024080135,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,303000285,2501156113-9,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305002354,0701B05213-1,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2012,306001892,25019656138,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2015,305007759,NA,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2016,306000936,1401272713-1,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2013,305007759,2803003313-9,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2014,312000805,3103087613-2,ESCAMA,6,HOOK AND LINES / ROD AND REEL
2013,305004970,1801649313-3,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305006025,25016477139,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2011,305007593,14022516136,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2017,305007445,3102382013-5,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,305006827,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305000846,2802010413-6,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2014,305005985,2601219313-4,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305007411,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,306000993,30021639103,ESCAMA MARINA,7,HOOK AND LINES / ROD AND REEL
2014,306000274,3001332813-5,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2012,306001900,14022264133,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2017,305007098,0303121013-9,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,306001041,NA,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2017,306001793,3102094713-5,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,505007155,14022894131,ESCAMA,12,HOOK AND LINES / ROD AND REEL
2014,305006793,12026037135,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305005795,2603281013-4,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,306001843,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305000846,30020436136,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2015,306001843,25017035138,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305007312,2501601313-4,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2012,306001892,14022284138,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2014,505007155,NA,ESCAMA,12,HOOK AND LINES / ROD AND REEL
2015,306001785,NA,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2015,305007346,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,312000805,0201086113-5,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305004764,NA,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2012,306001108,12025783138,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,306001918,NA,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2015,306000951,0701722413-3,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,306001090,25012264133,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2015,305005423,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2016,312000805,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305007759,3101082113-1,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2016,306001926,2602264613-3,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2015,305006801,0701A85413-3,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,306001041,2603293313-3,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2015,306001280,2603119113-1,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2017,305008740,0202052213-8,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2016,305006249,26030181138,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,306001827,3102105713-6,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2017,305023491,3001098613-8,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,306001892,4020137131,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2016,305006645,0303000813-1,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2015,306001835,NA,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2017,305005829,2802068113-0,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2015,306001918,0304252913-3,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2016,305006249,2601002913-3,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,306000936,NA,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2017,305006785,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2012,312003261,14024199138,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,306000951,0202100113-9,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007361,2501A283134,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2014,305006728,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305007122,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,306001702,3101061013-2,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2015,302001250,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,306001108,2014249135,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305006033,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,306001290,25013093133,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,306001108,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2013,305004970,14023238132,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,306001785,30031505136,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2013,305007221,14023254131,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305007403,3103236313-6,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,305007007,0302343113-2,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2012,305006645,14026438139,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2016,305002354,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,302001128,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,306001777,2602084013-3,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2014,305006033,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305000127,0303076613-3,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2017,305007221,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,306001108,25011151136,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,302000567,25021320137,ESCAMA MARINA,39,HOOK AND LINES / ROD AND REEL
2012,305007296,2502056013-9,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305007338,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2012,306001290,2502052613-3,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305008054,3102252213-7,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305006025,7011628133,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2012,306001090,2502054113-4,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305000713,3102222413-5,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2016,305003188,0303006113-7,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2014,306001801,NA,ESCAMA,30,HOOK AND LINES / ROD AND REEL
2015,305007403,0701875913-9,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,305006728,0701964613-9,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,306001785,20020705136,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2016,305006405,2804236510-1,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2014,306001033,12026034137,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2016,305007783,3102321213-2,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2013,305007411,2802044613-9,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2015,305007361,3103019513-1,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2012,306001801,14022297135,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2016,305008195,3102122513-2,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305006843,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305006785,3002873213-3,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007064,26021327132,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305007007,3101550813-1,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2012,306001926,2502052113-6,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2017,306001777,3101227313-1,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2017,305004459,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,305007445,1701142813-4,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2013,305007692,2805015413-4,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2016,306001900,1801209813-3,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2015,305003113,2502004913-3,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2012,306001934,14022278136,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2014,305007783,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2014,305004111,18011691139,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2017,305007437,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305005811,0304328313-4,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,306001041,0303109513-3,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2016,305007783,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,306001785,30032229138,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2015,305007817,2501A339133,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305006868,0202059413-3,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2014,305000036,NA,ESCAMA MARINA,210,HOOK AND LINES / ROD AND REEL
2016,306000936,NA,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2017,302001250,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,305007627,1801461813-9,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2014,306001033,0202073813-3,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2013,302001268,2802137113-1,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2014,306001290,0201488213-3,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,305007346,3103222913-4,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305003162,2502324813-3,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305006306,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305008047,14022958133,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305005423,NA,ESCAMA MARINA,40,HOOK AND LINES / ROD AND REEL
2015,306001702,14024565137,ESCAMA,5,HOOK AND LINES / ROD AND REEL
2017,306001769,NA,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2016,305007593,0301072413-1,ESCAMA MARINA,25,HOOK AND LINES / ROD AND REEL
2015,305006934,30030788138,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305003162,30033071134,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305006306,30034473138,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2013,305007411,2021256136,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2013,306001744,16029523131,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305005878,NA,ESCAMA MARINA,11,HOOK AND LINES / ROD AND REEL
2014,305006728,2601138613-3,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2013,305007783,14026640138,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305007361,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2012,306001900,25043918139,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2015,305007817,0701937913-9,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,306001900,3102346713-7,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2016,306000993,2602608613-7,ESCAMA MARINA,7,HOOK AND LINES / ROD AND REEL
2016,305002305,25032931133,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2016,306000936,28021228132,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2015,306001090,25017043135,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,306001918,25026873138,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2015,306001769,NA,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2016,306001033,18012089133,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,306001710,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305006744,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305007031,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,305002929,0303135413-7,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2015,305006306,30035812134,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2012,306000936,14022294137,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2015,305006579,1201030913-3,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305008054,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,306001900,3001961513-3,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2016,305008195,0201352213-7,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2014,305006876,2603335813-5,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,305000846,25023801134,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2016,305001521,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305006025,25016475135,ESCAMA MARINA,26,HOOK AND LINES / ROD AND REEL
2013,305007817,0201107513-1,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305007312,0302126013-7,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,306001082,NA,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2017,305006819,0301041413-7,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305004459,0302530613-3,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2013,305007270,0201205013-7,ESCAMA MARINA,45,HOOK AND LINES / ROD AND REEL
2016,306001290,2601130513-4,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2012,306001710,25043935130,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2017,305007692,30032234137,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305005795,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2014,306001082,0601167213-7,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2017,305008328,1801709413-8,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305006868,3102393213-4,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2017,305007122,18010787138,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305006092,0201285413-8,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,306001785,NA,ESCAMA MARINA,9,HOOK AND LINES / ROD AND REEL
2017,312003261,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,306001835,25019660139,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2015,305006926,0701069613-9,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305000127,0302447313-5,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2014,306001290,2504222810-3,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,306001280,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2017,305006595,2602378813-8,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007437,3003103813-5,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305004459,0304255010-6,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2016,305000036,2603234013-6,ESCAMA MARINA,210,HOOK AND LINES / ROD AND REEL
2017,305006371,0202052113-7,ESCAMA MARINA,80,HOOK AND LINES / ROD AND REEL
2014,306001926,NA,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2015,305007411,3102288113-6,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305006397,NA,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2017,305007288,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,306001769,3002546013-5,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305006579,0202052113-7,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
