year,RNP,vessel_registration_number,species_permit,fishing_gear_number,fishing_gear_type_en
2017,305005878,2804163813-3,ESCAMA MARINA,400,HOOK AND LINES / ROD AND REEL
2015,305000713,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006918,3101219010-9,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305006306,3102248213-5,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006470,25015426138,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2014,305002929,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305006819,0302318713-4,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006371,3102088313-2,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007346,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007429,0303010413-2,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006322,25014778138,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006793,0701287113-1,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305008195,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007361,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006512,3030524136,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006306,30034473138,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006512,0201338013-5,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305004459,2013923134,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006306,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305007320,3001008513-5,ESCAMA MARINA,300,HOOK AND LINES / ROD AND REEL
2015,305007320,NA,ESCAMA MARINA,300,HOOK AND LINES / ROD AND REEL
2017,305006397,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305007445,2501399113-9,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007429,25015621139,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006322,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006785,18012505135,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007098,2602290813-3,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006777,2804149213-1,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305006744,14020934137,ESCAMA MARINA,130,HOOK AND LINES / ROD AND REEL
2017,305006512,2802104013-6,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305005795,30031083135,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
